BIB_NO,Gender,Event,Time,Status
1839,M,그란폰도,05:05:03,
1841,M,메디오폰도,04:34:39,
1843,M,그란폰도,04:57:42,
1844,M,그란폰도,05:02:31,
1845,M,그란폰도,06:16:03,
1846,M,그란폰도,05:59:47,
1847,M,그란폰도,04:47:04,
1848,M,메디오폰도,04:38:19,
1849,F,그란폰도,05:41:30,
1850,M,그란폰도,05:37:52,
1851,M,그란폰도,05:41:01,
1852,M,메디오폰도,04:29:30,
1853,M,그란폰도,04:39:15,
1855,F,메디오폰도,04:06:48,
1856,M,그란폰도,06:22:37,
1857,M,그란폰도,05:45:30,
1858,M,그란폰도,05:49:48,
1859,M,메디오폰도,04:00:46,
1860,M,그란폰도,05:11:55,
1861,M,메디오폰도,05:31:32,
1862,M,메디오폰도,04:09:32,
1863,M,그란폰도,05:48:49,
1864,M,그란폰도,06:10:49,
1865,M,그란폰도,06:14:43,
1866,M,그란폰도,06:01:22,
1867,M,메디오폰도,04:12:18,
1870,M,메디오폰도,04:23:37,
1871,M,메디오폰도,03:54:51,
1872,M,메디오폰도,04:03:59,
1873,M,그란폰도,05:57:08,
1876,M,그란폰도,04:40:29,
1878,M,그란폰도,04:55:03,
1879,F,메디오폰도,03:31:07,
1880,M,그란폰도,06:18:26,
1882,M,그란폰도,04:37:43,
1883,M,메디오폰도,03:15:12,
1884,M,그란폰도,05:09:34,
1885,M,메디오폰도,04:09:25,
1887,M,그란폰도,04:17:27,
1888,M,그란폰도,04:45:17,
1889,M,그란폰도,06:09:41,
1891,M,그란폰도,05:27:11,
1893,M,메디오폰도,04:21:59,
1896,M,그란폰도,04:36:59,
1897,M,그란폰도,05:12:43,
1898,M,메디오폰도,04:11:17,
1899,M,메디오폰도,04:18:12,
1902,M,그란폰도,06:06:17,
1903,M,메디오폰도,03:41:39,
1905,M,그란폰도,05:53:47,
1906,M,그란폰도,05:32:28,
1907,M,메디오폰도,02:25:40,
1908,M,그란폰도,06:18:01,
1909,M,그란폰도,,DNF
1910,M,그란폰도,05:55:55,
1911,F,메디오폰도,03:52:59,
1912,M,메디오폰도,04:33:12,
1913,M,그란폰도,06:07:19,
1914,M,그란폰도,,DNF
1915,M,그란폰도,05:22:26,
1916,M,그란폰도,,DNF
1918,M,메디오폰도,05:27:07,
1919,M,메디오폰도,03:31:23,
1920,M,그란폰도,05:54:18,
1921,M,메디오폰도,04:55:06,
1922,M,메디오폰도,04:39:04,
1923,M,그란폰도,05:31:52,
1924,M,그란폰도,04:13:05,
1925,M,그란폰도,05:32:51,
1926,F,메디오폰도,04:37:24,
1927,F,그란폰도,06:27:51,
1929,M,메디오폰도,04:19:07,
1930,M,그란폰도,04:48:28,
1932,M,그란폰도,03:55:38,
1933,M,메디오폰도,03:36:49,
1934,M,메디오폰도,04:08:50,
1936,M,그란폰도,05:53:48,
1937,M,그란폰도,05:51:03,
1938,M,메디오폰도,04:00:03,
1941,M,그란폰도,04:44:21,
1942,M,그란폰도,05:40:08,
1943,M,그란폰도,05:09:51,
1945,M,메디오폰도,03:14:42,
1948,M,메디오폰도,03:39:04,
1949,M,그란폰도,06:09:45,
1950,M,그란폰도,04:31:58,
1951,M,메디오폰도,03:55:02,
1952,M,그란폰도,05:34:38,
1953,F,그란폰도,06:51:21,
1954,M,그란폰도,05:37:14,
1955,M,그란폰도,04:53:42,
1956,M,그란폰도,05:36:22,
1957,M,그란폰도,04:41:18,
1958,M,그란폰도,04:31:20,
1960,M,메디오폰도,05:14:08,
1962,M,그란폰도,06:32:40,
1964,M,메디오폰도,04:13:35,
1965,M,그란폰도,,DNF
1966,M,그란폰도,05:32:52,
1967,M,그란폰도,05:13:14,
1968,M,그란폰도,04:59:55,
1969,M,메디오폰도,04:51:00,
1970,M,메디오폰도,04:21:28,
1973,M,메디오폰도,02:50:41,
1974,M,메디오폰도,03:48:45,
1975,M,그란폰도,04:15:39,
1976,M,그란폰도,05:58:20,
1977,M,그란폰도,06:00:08,
1979,M,메디오폰도,03:53:26,
1980,M,메디오폰도,04:23:08,
1984,M,그란폰도,05:57:46,
1985,M,그란폰도,05:54:59,
1986,M,메디오폰도,04:23:32,
1987,M,그란폰도,05:05:12,
1989,F,메디오폰도,04:37:01,
1990,M,그란폰도,06:31:27,
1991,M,그란폰도,05:52:42,
1992,M,메디오폰도,04:21:17,
1993,M,그란폰도,,DNF
1994,M,그란폰도,04:57:34,
1995,M,그란폰도,04:21:40,
1996,M,메디오폰도,04:19:06,
1997,M,그란폰도,05:30:28,
1999,M,메디오폰도,03:31:52,
2000,M,그란폰도,04:08:35,
2001,F,메디오폰도,04:43:25,
2002,M,그란폰도,06:30:37,
2003,M,그란폰도,06:01:29,
2006,M,그란폰도,04:44:34,
2007,M,그란폰도,05:35:48,
2008,M,메디오폰도,04:44:41,
2009,M,그란폰도,,DNF
2010,M,그란폰도,04:16:02,
2011,M,그란폰도,05:13:22,
2012,M,그란폰도,06:33:52,
2013,M,그란폰도,05:11:37,
2015,M,메디오폰도,03:38:46,
2016,M,메디오폰도,03:52:43,
2017,M,그란폰도,06:11:46,
2019,M,그란폰도,,DNF
2020,F,메디오폰도,04:21:28,
2023,M,메디오폰도,03:26:27,
2025,M,그란폰도,05:04:07,
